producer_not_harmonized,producer_harmonized,producer_type
ddt24,DDT Dordogne,
ddt24scatserviceconnaissanceetanimationterritoire,DDT Dordogne,
ddt24scatserviceconnaissanceetanimationterritoriale,DDT Dordogne,
ddt25,DDT Doubs,
ddt25directiondepartementaledesterritoiresdudoubs,DDT Doubs,
ddt26,DDT Drôme,
ddt26directiondepartementaledesterritoiresdeladrome,DDT Drôme,
ddt26satr,DDT Drôme,
ddt26sdsrpdeu,DDT Drôme,
ddt28,DDT Eure-et-Loir,
ddt28directiondepartementaledesterritoiresdeureetloir,DDT Eure-et-Loir,
ddt28directiondepartementaledesterritoiresdueureetloir,DDT Eure-et-Loir,
ddt31,DDT Haute-Garonne,
ddt31directiondepartementaledesterritoiresdehautegaronne,DDT Haute-Garonne,
ddt32,DDT Gers,
ddt32directiondepartementaledesterritoiresdugers,DDT Gers,
ddt32directioniedt,DDT Gers,
ddt36,DDT Indre,
ddt36directiondepartementaledesterritoiresdelindre,DDT Indre,
ddt37,DDT Indre-et-Loire,
ddt37directiondepartementaledesterritoiresdindreetloire,DDT Indre-et-Loire,
ddt37mtmotsig,DDT Indre-et-Loire,
ddt38,DDT Isère,
ddt38directiondepartementaledesterritoiresdelisere,DDT Isère,
ddt38directiondepartementaledesterritoiresdelisereddt38directiondepartementaledesterritoiresdelisere,DDT Isère,
ddt38sgsigc,DDT Isère,
ddt39,DDT Jura,
ddt39directiondepartementaledesterritoiresdujura,DDT Jura,
ddt41,DDT Loir-et-Cher,
ddt41directiondepartementaledesterritoiresduloiretcher,DDT Loir-et-Cher,
ddt41sctpunitegeomatique,DDT Loir-et-Cher,
ddt42,DDT Loire,
ddt42directiondepartementaledesterritoiresdelaloire,DDT Loire,
ddt43,DDT Haute-Loire,
ddt43directiondepartementaledesterritoiresdehauteloire,DDT Haute-Loire,
ddt43directiondepartementaledesterritoiresdelahauteloiredehauteloire,DDT Haute-Loire,
ddt45,DDT Loiret,
ddt45directiondepartementaledesterritoiresduloiret,DDT Loiret,
ddt46,DDT Lot,
ddt46directiondepartementaledesterritoiresdulot,DDT Lot,
ddt47,DDT Lot-et-Garonne,
ddt47directiondepartementaledesterritoiresdulotetgaronne,DDT Lot-et-Garonne,
ddt47srspr,DDT Lot-et-Garonne,
ddt48,DDT Lozère,
ddt48directiondepartementaledesterritoiresdelalozere,DDT Lozère,
ddt48serviceamenagementuniteurbanismeetterritoires,DDT Lozère,
ddt48serviceamenagementurbanismeetterritoire,DDT Lozère,
ddt48serviceeconomieagricoleuniteaccompagnementdesexploitations,DDT Lozère,
ddt48servicesecuriterisquesenergieconstruction,DDT Lozère,
ddt48servicesecuriterisquesenergieconstructionunitepreventiondesrisques,DDT Lozère,
ddt49,DDT Maine-et-Loire,
ddt49directiondepartementaledesterritoiresdumaineetloire,DDT Maine-et-Loire,
ddt49directiondepartementaledesterritoiresdumaineetloiredirectiondepartementaledesterritoiresdemaineetloire,DDT Maine-et-Loire,
ddt51directiondepartementaledesterritoiresdelamarne,DDT Marne,
ddt52,DDT Haute-Marne,
ddt52directiondepartementaledesterritoiresdelahautemarne,DDT Haute-Marne,
ddt53,DDT Mayenne,
ddt53directiondepartementaledesterritoiresdelamayenne,DDT Mayenne,
ddt54,DDT Meurthe-et-Moselle,
ddt54directiondepartementaledesterritoiresdemeurtheetmoselle,DDT Meurthe-et-Moselle,
ddt55,DDT Meuse,
ddt55directiondepartementaledesterritoiresdelameuse,DDT Meuse,
ddt55se,DDT Meuse,
ddt55suh,DDT Meuse,
ddt57,DDT Moselle,
ddt58,DDT Nièvre,
ddt58directiondepartementaledesterritoiresdelanievre,DDT Nièvre,
ddt60,DDT Oise,
ddt61,DDT Orne,
ddt61directiondepartementaledesterritoiresdelorne,DDT Orne,
ddt63,DDT Puy-de-Dôme,
ddt63directiondepartementaledesterritoiresdupuydedome,DDT Puy-de-Dôme,
ddt65,DDT Hautes-Pyrénées,
ddt65directiondepartementaledesterritoiresdeshautespyrenees,DDT Hautes-Pyrénées,
ddt65migao,DDT Hautes-Pyrénées,
ddt65serviceenvironnementrisqueseauetforetbureaurisquesnaturelsettechnologiques,DDT Hautes-Pyrénées,
ddt67,DDT Bas-Rhin,
ddt68,DDT Haut-Rhin,
ddt68directiondepartementaledesterritoiresduhautrhin,DDT Haut-Rhin,
ddt68dirmit,DDT Haut-Rhin,
ddt68dirmitbgeom,DDT Haut-Rhin,
ddt68msibgeom,DDT Haut-Rhin,
ddt69,DDT Rhône,
ddt69directiondepartementaledesterritoiresdurhone,DDT Rhône,
ddt70,DDT Haute-Saône,
ddt70directiondepartementaledesterritoiresdelahautesaone,DDT Haute-Saône,
ddt70sereau,DDT Haute-Saône,
ddt71,DDT Saône-et-Loire,
ddt71directiondepartementaledesterritoiresdesaoneetloire,DDT Saône-et-Loire,
ddt72,DDT Sarthe,
ddt72directiondepartementaledesterritoiresdelasarthe,DDT Sarthe,
ddt72seeagricultureenvironnement,DDT Sarthe,
ddt72seeserviceeaupeche,DDT Sarthe,
ddt72spt,DDT Sarthe,
ddt72sptgeomatique,DDT Sarthe,
ddt73directiondepartementaledesterritoiresdelasavoie,DDT Savoie,
ddt74,DDT Haute-Savoie,
ddt74directiondepartementaledesterritoiresdelahautesavoie,DDT Haute-Savoie,
ddt77,DDT Seine-et-Marne,
ddt77directiondepartementaledesterritoiresdeseineetmarne,DDT Seine-et-Marne,
ddt77serviceagricultureetdeveloppementrural,DDT Seine-et-Marne,
ddt77serviceamenagementplanificationetprospective,DDT Seine-et-Marne,
ddt77serviceamenagementplanificationetprospectivepoledessystemesdinformation,DDT Seine-et-Marne,
ddt77servicedelingenieriedurabledelaconstructionetdelenergie,DDT Seine-et-Marne,
ddt77serviceenvironnementpreventiondesrisques,DDT Seine-et-Marne,
ddt77servicehabitatetrenovationurbaine,DDT Seine-et-Marne,
ddt78,DDT Yvelines,
ddt78directiondepartementaledesterritoiresdesyvelines,DDT Yvelines,
ddt79,DDT Deux-Sèvres,
ddt79directiondepartementaledesterritoiresdesdeuxsevres,DDT Deux-Sèvres,
ddt79satserviceagricultureetterritoires,DDT Deux-Sèvres,
ddt79seeserviceeauetenvironnement,DDT Deux-Sèvres,
ddt79serviceeauetenvironnement,DDT Deux-Sèvres,
ddt79serviceprospective,DDT Deux-Sèvres,
ddt79spphpro,DDT Deux-Sèvres,
ddt79spphprospective,DDT Deux-Sèvres,
ddt81,DDT Tarn,
ddt81directiondepartementaledesterritoiresdutarn,DDT Tarn,
ddt81shappppgbsig,DDT Tarn,
ddt82,DDT Tarn-et-Garonne,
ddt82directiondepartementaledesterritoiresdetarnetgaronne,DDT Tarn-et-Garonne,
ddt84,DDT Vaucluse,
ddt86,DDT Vienne,
ddt86directiondepartementaledesterritoiresdelavienne,DDT Vienne,
ddt86sprcvsr,DDT Vienne,
ddt87,DDT Haute-Vienne,
ddt87mcat,DDT Haute-Vienne,
ddt87sateddateer,DDT Haute-Vienne,
ddt87sul,DDT Haute-Vienne,
ddt88,DDT Vosges,
ddt88directiondepartementaledesterritoiresdesvosges,DDT Vosges,
ddt89,DDT Yonne,
ddt89sctepconnaissancedesterritoiresetetudesgenerales,DDT Yonne,
ddt89siddseducationroutiere,DDT Yonne,
ddt89suhrhabitatetlogementsocial,DDT Yonne,
ddt90,DDT Territoire de Belfort,
ddt90ddtterritoiredebelfort,DDT Territoire de Belfort,
ddt91,DDT Essonne,
ddt91directiondepartementaledesterritoiresdelessonne,DDT Essonne,
ddt91serviceterritoireetprospective,DDT Essonne,
ddt95,DDT Val-d'Oise,
ddt95directionberbrigittelucasvaldoisegouvfr,DDT Val-d'Oise,
ddt95directiondepartementaledesterritoiresduvaldoise,DDT Val-d'Oise,
ddt95missionimmobilierfoncier,DDT Val-d'Oise,
ddt95missionpreventiondesrisques,DDT Val-d'Oise,
ddt95polegeomatique,DDT Val-d'Oise,
ddt95poleurbanisme,DDT Val-d'Oise,
ddtardeche,DDT Ardèche,
ddtcantal,DDT Cantal,
ddtcharente,DDT Charente,
ddtcorreze,DDT Corrèze,
ddtcreuse,DDT Creuse,
ddtdehautegaronne,DDT Haute-Garonne,
ddtdeladordogne,DDT Dordogne,
ddtdelahautevienne,DDT Haute-Vienne,
ddtdelahauteviennemissionsconnaissancedesterritoires,DDT Haute-Vienne,
ddtdelahauteviennemissionsconnaissanceetanalysedesterritoires,DDT Haute-Vienne,
ddtdelahautevienneserviceeauenvironnementforetrisques,DDT Haute-Vienne,
ddtdelain,DDT Ain,
ddtdelainunitesig,DDT Ain,
ddtdelaisne,DDT Aisne,
ddtdelamoselle,DDT Moselle,
ddtdelardeche,DDT Ardèche,
ddtdelariege,DDT Ariège,
ddtdelasarthe,DDT Sarthe,
ddtdelasavoie,DDT Savoie,
ddtdelaveyron,DDT Aveyron,
ddtdelisere,DDT Isère,
ddtdeloise,DDT Oise,
ddtdelorne,DDT Orne,
ddtdelyonne,DDT Yonne,
ddtdemaineetloire,DDT Maine-et-Loire,
ddtdesaoneetloire,DDT Saône-et-Loire,
ddtdesdeuxsevres,DDT Deux-Sèvres,
ddtdeseineetmarne,DDT Seine-et-Marne,
ddtdeseineetmarneserviceamenagementplanificationetprospective,DDT Seine-et-Marne,
ddtdesyvelines,DDT Yvelines,
ddtdeuxsevres,DDT Deux-Sèvres,
ddtdubasrhin,DDT Bas-Rhin,
ddtdudoubs,DDT Doubs,
ddtdugers,DDT Gers,
ddtdujura,DDT Jura,
ddtdurhone,DDT Rhône,
ddtdutarn,DDT Tarn,
ddtduvaldoise,DDT Val-d'Oise,
ddthautegaronne,DDT Haute-Garonne,
ddthauteloire,DDT Haute-Loire,
ddthautespyrenees,DDT Hautes-Pyrénées,
ddthautevienne,DDT Haute-Vienne,
ddthautrhindirectiondepartementaledesterritoiresduhautrhin,DDT Haut-Rhin,
ddtloire,DDT Loire,
ddtm06,DDTM Alpes-Maritimes,
ddtm06directiondepartementaledesterritoiresetdelamerdesalpesmaritimes,DDTM Alpes-Maritimes,
ddtm11,DDTM Aude,
ddtm11directiondepartementaledesterritoiresdelaude,DDTM Aude,
ddtm13,DDTM Bouches-du-Rhône,
ddtm13directiondepartementaledesterritoiresetdelamerdesbouchesdurhone,DDTM Bouches-du-Rhône,
ddtm14,DDTM Calvados,
ddtm14delegationmeretlittoral,DDTM Calvados,
ddtm14directiondepartementaledesterritoiresetdelamerducalvados,DDTM Calvados,
ddtm17,DDTM Charente-Maritime,
ddtm17directiondepartementaledesterritoiresetdelamerdecharentemaritime,DDTM Charente-Maritime,
ddtm17dmlddculturesmarinesetpeches,DDTM Charente-Maritime,
ddtm17misiguardd,DDTM Charente-Maritime,
ddtm17missionobservatoireetgeomatique,DDTM Charente-Maritime,
ddtm17missionsig,DDTM Charente-Maritime,
ddtm17mog,DDTM Charente-Maritime,
ddtm17moppog,DDTM Charente-Maritime,
ddtm17msig,DDTM Charente-Maritime,
ddtm17mtp,DDTM Charente-Maritime,
ddtm17mtp89avenuedescordeliers17018larochellecedex,DDTM Charente-Maritime,
ddtm17samcmp,DDTM Charente-Maritime,
ddtm17serviceactivitesmaritimesculturesmarinesetpeche,DDTM Charente-Maritime,
ddtm17servicelittoral,DDTM Charente-Maritime,
ddtm17servicelittoralgestionintegreedudpm,DDTM Charente-Maritime,
ddtm17servicelittoralgestionintegreedudpmpatriceverdin,DDTM Charente-Maritime,
ddtm17servicelittoralgidpm,DDTM Charente-Maritime,
ddtm17servicesdesactivitesmaritimesculturesmarinesetpeche,DDTM Charente-Maritime,
ddtm17slgestionintegreedudpm,DDTM Charente-Maritime,
ddtm17uardd,DDTM Charente-Maritime,
ddtm17uarddamenagement,DDTM Charente-Maritime,
ddtm17uarddupb,DDTM Charente-Maritime,
ddtm22,DDTM Côtes-d'Armor,
ddtm22directiondepartementaledesterritoiresetdelamerdescotesdarmor,DDTM Côtes-d'Armor,
ddtm27,DDTM Eure,
ddtm27directiondepartementaledesterritoiresetdelamerdeleure,DDTM Eure,
ddtm29,DDTM Finistère,
ddtm2adirectiondepartementaledesterritoiresetdelamerdecorsedusud,DDTM Corse-du-Sud,
ddtm2b,DDTM Haute-Corse,
ddtm2bdirectiondepartementaledesterritoiresetdelamerdehautecorse,DDTM Haute-Corse,
ddtm30,DDTM Gard,
ddtm30directiondepartementaledesterritoiresetdelamerdugard,DDTM Gard,
ddtm30sea,DDTM Gard,
ddtm30sef,DDTM Gard,
ddtm30sefforetdfci,DDTM Gard,
ddtm30sei,DDTM Gard,
ddtm30ssbicr,DDTM Gard,
ddtm30suhhi,DDTM Gard,
ddtm30suhurba,DDTM Gard,
ddtm33,DDTM Gironde,
ddtm33directiondepartementaledesterritoiresetdelamerdegironde,DDTM Gironde,
ddtm33sigadl,DDTM Gironde,
ddtm34,DDTM Hérault,
ddtm35,DDTM Ille-et-Vilaine,
ddtm35directiondepartementaledesterritoiresetdelamerdilleetvilaine,DDTM Ille-et-Vilaine,
ddtm35etaudiar,DDTM Ille-et-Vilaine,
ddtm40,DDTM Landes,
ddtm40directiondepartementaledesterritoiresetdelamerdeslandes,DDTM Landes,
ddtm44,DDTM Loire-Atlantique,
ddtm44directiondepartementaledesterritoiresetdelamerdeloireatlantique,DDTM Loire-Atlantique,
ddtm44directiondepartementaledesterritoiresetdelamerdeloireatlantiqueserviceamenagementdurable,DDTM Loire-Atlantique,
ddtm44directiondepartementaledesterritoiresetdelamerdeloireatlantiqueservicetransportsetrisques,DDTM Loire-Atlantique,
ddtm50,DDTM Manche,
ddtm50dmldpmcm,DDTM Manche,
ddtm50dmlimlchargedemissionsiglittoral,DDTM Manche,
ddtm56,DDTM Morbihan,
ddtm56directiondepartementaledesterritoiresetdelamerdumorbihan,DDTM Morbihan,
ddtm56dmlsamelserviceamenagementmeretlittoral,DDTM Morbihan,
ddtm56senbassgspassainissementgestionservicespublics,DDTM Morbihan,
ddtm59,DDTM Nord,
ddtm62,DDTM Pas-de-Calais,
ddtm62directiondepartementaledesterritoiresetdelamerdupasdecalais,DDTM Pas-de-Calais,
ddtm64,DDTM Pyrénées-Atlantiques,
ddtm64directiondepartementaledesterritoiresetdelamerdespyreneesatlantiques,DDTM Pyrénées-Atlantiques,
ddtm66,DDTM Pyrénées-Orientales,
ddtm66directiondepartementaledesterritoiresetdelamerdespyreneesorientales,DDTM Pyrénées-Orientales,
ddtm66meot,DDTM Pyrénées-Orientales,
ddtm66serpr,DDTM Pyrénées-Orientales,
ddtm66suhup,DDTM Pyrénées-Orientales,
ddtm76,DDTM Seine-Maritime,
ddtm76delegationmeretlittoral,DDTM Seine-Maritime,
ddtm76srmtbureaudesrisquesnaturels,DDTM Seine-Maritime,
ddtm80,DDTM Somme,
ddtm80directiondepartementaledesterritoiresetdelamerdelasomme,DDTM Somme,
ddtm83,DDTM Var,
ddtm83directiondepartementaledesterritoiresetdelamerduvar,DDTM Var,
ddtm83seadr,DDTM Var,
ddtm83sef,DDTM Var,
ddtm83sefpfdfci,DDTM Var,
ddtm83sema,DDTM Var,
ddtm85,DDTM Vendée,
ddtm85directiondepartementaledesterritoiresetdelamerdelavendee,DDTM Vendée,
ddtm85directiondepartementaledesterritoiresetdelamerdevendee,DDTM Vendée,
ddtm85directiondepartementaledesterritoiresetdelamerdevendeemitra,DDTM Vendée,
ddtm85directiondepartementaledesterritoiresetdelamerdevendeesern,DDTM Vendée,
ddtm85directiondepartementaledesterritoiresetdelamerdevendeesua,DDTM Vendée,
ddtmcharentemaritime,DDTM Charente-Maritime,
ddtmdegironde,DDTM Gironde,
ddtmdelacharentemaritime,DDTM Charente-Maritime,
ddtmdelamanche,DDTM Manche,
ddtmdelasomme,DDTM Somme,
ddtmdeleure,DDTM Eure,
ddtmdelherault,DDTM Hérault,
ddtmdesalpesmaritimes,DDTM Alpes-Maritimes,
ddtmdeseinemaritime,DDTM Seine-Maritime,
ddtmdeslandes,DDTM Landes,
ddtmdevendee,DDTM Vendée,
ddtmdmlbatb,,
ddtmducalvados,DDTM Calvados,
ddtmdufinistere,DDTM Finistère,
ddtmdumorbihan,DDTM Morbihan,
ddtmdumorbihansuhph,DDTM Morbihan,
ddtmdunord,DDTM Nord,
ddtpuydedome,DDT Puy-de-Dôme,
ddtsarthe,DDT Sarthe,
ddtsavoie,DDT Savoie,
directiondepartementalduterritoiredeladordogne,DDT Dordogne,
directiondepartementaledesterristoiresetdelamerdelagironde,DDTM Gironde,
directiondepartementaledesterristoiresetdelamerdeslandes,DDTM Landes,
directiondepartementaledesterritoires04,DDT Alpes-de-Haute-Provence,
directiondepartementaledesterritoiresddtdelahautegaronne,DDT Haute-Garonne,
directiondepartementaledesterritoiresdecharente,DDT Charente,
directiondepartementaledesterritoiresdehautegaronne,DDT Haute-Garonne,
directiondepartementaledesterritoiresdelacorreze,DDT Corrèze,
directiondepartementaledesterritoiresdeladordogne,DDT Dordogne,
directiondepartementaledesterritoiresdelahauteloireddt43,DDT Haute-Loire,
directiondepartementaledesterritoiresdelahautemarne,DDT Haute-Marne,
directiondepartementaledesterritoiresdelahautevienne,DDT Haute-Vienne,
directiondepartementaledesterritoiresdelallierddt03,DDT Allier,
directiondepartementaledesterritoiresdelamayenne,DDT Mayenne,
directiondepartementaledesterritoiresdelamayenne53,DDT Mayenne,
directiondepartementaledesterritoiresdelameuseddt55,DDT Meuse,
directiondepartementaledesterritoiresdelasarthe,DDT Sarthe,
directiondepartementaledesterritoiresdelaveyron,DDT Aveyron,
directiondepartementaledesterritoiresdelavienne,DDT Vienne,
directiondepartementaledesterritoiresdeloiretcher,DDT Loir-et-Cher,
directiondepartementaledesterritoiresdesdeuxsevres,DDT Deux-Sèvres,
directiondepartementaledesterritoiresdeshautesalpes,DDT Hautes-Alpes,
directiondepartementaledesterritoiresdesvosges,DDT Vosges,
directiondepartementaledesterritoiresdubasrhin,DDT Bas-Rhin,
directiondepartementaledesterritoiresducantalddt15,DDT Cantal,
directiondepartementaledesterritoiresdudoubsservicerisques,DDT Doubs,
directiondepartementaledesterritoiresdudupuydedomeddt63,DDT Puy-de-Dôme,
directiondepartementaledesterritoiresdulotetgaronne,DDT Lot-et-Garonne,
directiondepartementaledesterritoiresdupuydedomeddt63,DDT Puy-de-Dôme,
directiondepartementaledesterritoiresetdelamer17,DDTM Charente-Maritime,
directiondepartementaledesterritoiresetdelamerddtmdeloireatlantique,DDTM Loire-Atlantique,
directiondepartementaledesterritoiresetdelamerdelacharentemaritime,DDTM Charente-Maritime,
directiondepartementaledesterritoiresetdelamerdelacharentemaritimemissionobservationgeomatique,DDTM Charente-Maritime,
directiondepartementaledesterritoiresetdelamerdeloireatlantique,DDTM Loire-Atlantique,
directiondepartementaledesterritoiresetdelamerdilleetvilainemissionexpertiseterritorialeetstrategiedusystemedinformation,DDTM Ille-et-Vilaine,
directiondepartementaledesterritoiresetdelamerducalvados,DDTM Calvados,
directiondepartementaledesterritoiresetdelamerdugardddtm30,DDTM Gard,
directiondepartementaledesterritoiresetdelamerdunord,DDTM Nord,
directiondepartementaledesterritoiresetdelemerdeslandes,DDTM Landes,
directiondepartementaleduterritoireetdelamerdunord,DDTM Nord,
directiondepartementaleduterritoireetdelamerdupasdecalais,DDTM Pas-de-Calais,
directiondepartementatedesterritoiresetdelamerdelagironde,DDTM Gironde,
donneesstap65reportddt65,DDT Hautes-Pyrénées,
missionexpertiseterritorialeetstrategiedusystemedinformationddtm35,DDTM Ille-et-Vilaine,
serviceloirerisquetransportddt45,DDT Loiret,
